user_query,command,description
How do I run `htop` so it refreshes every 0.5 seconds?,htop -d 5,Runs htop with a 0.5-second refresh interval.
What's the command to start `htop` with a half-second update interval?,htop -d 5,Runs htop with a 0.5-second refresh interval.
Could you give me the command to launch `htop` with a 5 decisecond refresh rate?,htop -d 5,Runs htop with a 0.5-second refresh interval.
I need to execute `htop` with a 0.5-second delay between updates. What's the syntax?,htop -d 5,Runs htop with a 0.5-second refresh interval.
How can I get `htop` to refresh twice a second?,htop -d 5,Runs htop with a 0.5-second refresh interval.
What's the proper way to invoke `htop` and set its update frequency to 0.5s?,htop -d 5,Runs htop with a 0.5-second refresh interval.
"I want to open `htop` and have it update every half-second. Command, please?",htop -d 5,Runs htop with a 0.5-second refresh interval.
Run `htop` with a 0.5 second refresh. What command do I use?,htop -d 5,Runs htop with a 0.5-second refresh interval.
How do you start `htop` to monitor processes with a 0.5-second refresh?,htop -d 5,Runs htop with a 0.5-second refresh interval.
Tell me the command to run `htop` where it updates every 5 deciseconds,htop -d 5,Runs htop with a 0.5-second refresh interval.
I'm looking for the command to launch `htop` with a 0.5s screen refresh rate,htop -d 5,Runs htop with a 0.5-second refresh interval.
What's the shell command to run `htop` with its display updating every 0.5 seconds?,htop -d 5,Runs htop with a 0.5-second refresh interval.
How do I open `file.txt` with Vim in read-only mode?,vim -R file.txt,Opens file.txt in Vim in read-only mode.
"What's the command to view `file.txt` using Vim, without allowing edits?",vim -R file.txt,Opens file.txt in Vim in read-only mode.
"I need to inspect `file.txt` with Vim, but I want to ensure I can't accidentally modify it. How do I do that?",vim -R file.txt,Opens file.txt in Vim in read-only mode.
"Could you tell me how to open `file.txt` using Vim in a safe, non-editable way?",vim -R file.txt,Opens file.txt in Vim in read-only mode.
How do I just look at the contents of `file.txt` using Vim?,vim -R file.txt,Opens file.txt in Vim in read-only mode.
Show me the Vim command to open `file.txt` in a read-only state,vim -R file.txt,Opens file.txt in Vim in read-only mode.
"I want to open `file.txt` with Vim, but only for reading. What's the syntax?",vim -R file.txt,Opens file.txt in Vim in read-only mode.
Is there a way to open `file.txt` in Vim so I can't make any changes?,vim -R file.txt,Opens file.txt in Vim in read-only mode.
What's the best command to open `file.txt` with Vim for viewing only?,vim -R file.txt,Opens file.txt in Vim in read-only mode.
How can I open `file.txt` in Vim and prevent accidental modifications?,vim -R file.txt,Opens file.txt in Vim in read-only mode.
Could you give me the command to open `file.txt` in Vim in view mode?,vim -R file.txt,Opens file.txt in Vim in read-only mode.
"I'd like to open `file.txt` in Vim, explicitly disabling write functionality",vim -R file.txt,Opens file.txt in Vim in read-only mode.
"Open `config.conf` in Nano, displaying the cursor position constantly",nano -c config.conf,Opens config.conf in Nano with constant cursor position display.
