user_query,command,description
Run `ip addr show`,ip addr show,Displays IP addresses and interface details.
How do I see my IP address?,ip addr show,Displays IP addresses and interface details.
Show me my network interface details,ip addr show,Displays IP addresses and interface details.
What's my current IP configuration?,ip addr show,Displays IP addresses and interface details.
I need to check my network interfaces,ip addr show,Displays IP addresses and interface details.
Display my IP addresses,ip addr show,Displays IP addresses and interface details.
Could you show me the IP address and interface info?,ip addr show,Displays IP addresses and interface details.
Get my network details,ip addr show,Displays IP addresses and interface details.
How can I view my network interfaces?,ip addr show,Displays IP addresses and interface details.
Can you tell me my IP?,ip addr show,Displays IP addresses and interface details.
List the network addresses,ip addr show,Displays IP addresses and interface details.
What command shows my IP address?,ip addr show,Displays IP addresses and interface details.
How do I list all listening TCP and UDP sockets with numeric addresses?,ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
"I need to see what ports are open and listening on my system, both TCP and UDP, using numeric output",ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
"Show me all active listening network connections for both TCP and UDP, displaying numeric host/port values",ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
What's the command to display all listening TCP and UDP sockets without resolving hostnames?,ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
Could you tell me how to list all listening sockets (TCP and UDP) in numeric format?,ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
"List all listening network services, including TCP and UDP, using numeric IP addresses and port numbers",ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
"How can I check which TCP and UDP ports are in a listening state, showing numeric output?",ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
"I want to view all listening sockets, TCP and UDP, with numeric addresses. What's the command?",ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
Give me the command to show all listening TCP and UDP sockets in numeric form,ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
"What's listening on my network ports, specifically TCP and UDP, with numeric output?",ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
How do I get a numeric list of all listening TCP and UDP sockets?,ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
Display all listening TCP and UDP sockets with their numeric IP addresses and port numbers,ss -tulwn,Lists listening TCP and UDP sockets with numeric addresses.
Can you display the ARP cache without resolving hostnames?,arp -n,Displays the ARP cache without resolving hostnames.
"I need to see the ARP table, but without resolving hostnames",arp -n,Displays the ARP cache without resolving hostnames.
Please show me the numeric ARP entries,arp -n,Displays the ARP cache without resolving hostnames.
"How do I view the ARP cache in its raw, un-resolved form?",arp -n,Displays the ARP cache without resolving hostnames.
Could you list the current ARP mappings without DNS lookups?,arp -n,Displays the ARP cache without resolving hostnames.
"Get me the ARP table, just the IP addresses and MACs",arp -n,Displays the ARP cache without resolving hostnames.
I'd like to check the ARP cache; display it numerically,arp -n,Displays the ARP cache without resolving hostnames.
Show the ARP cache entries without hostname resolution,arp -n,Displays the ARP cache without resolving hostnames.
Can you output the raw ARP table for me?,arp -n,Displays the ARP cache without resolving hostnames.
Display the ARP table in its numeric format,arp -n,Displays the ARP cache without resolving hostnames.
Give me a listing of the ARP cache without resolving any hostnames,arp -n,Displays the ARP cache without resolving hostnames.
I want to see the ARP cache; please don't resolve the hostnames,arp -n,Displays the ARP cache without resolving hostnames.
Show me the routing table,route -n,Displays the routing table with numeric addresses.
How do I view the network routing table?,route -n,Displays the routing table with numeric addresses.
Display the routing table with numeric IP addresses,route -n,Displays the routing table with numeric addresses.
I need to check the active routes on this machine,route -n,Displays the routing table with numeric addresses.
What's the command to list my network routes?,route -n,Displays the routing table with numeric addresses.
Could you please show me the routing table numerically?,route -n,Displays the routing table with numeric addresses.
Output the routing information for this system,route -n,Displays the routing table with numeric addresses.
I want to see the kernel's routing entries,route -n,Displays the routing table with numeric addresses.
List the system's routing table without resolving hostnames,route -n,Displays the routing table with numeric addresses.
How can I see the routing table without hostname resolution?,route -n,Displays the routing table with numeric addresses.
Display the routing table in a numerical format,route -n,Displays the routing table with numeric addresses.
What's the command to get a quick look at the routes?,route -n,Displays the routing table with numeric addresses.
How do I display network interfaces on Linux?,ip link show,Lists network interfaces and their status.
What's the command to list network adapter status?,ip link show,Lists network interfaces and their status.
Show me my network interface configuration,ip link show,Lists network interfaces and their status.
How can I check the status of my network links?,ip link show,Lists network interfaces and their status.
I need to see my NICs; what command should I use?,ip link show,Lists network interfaces and their status.
List all network interfaces and their current state,ip link show,Lists network interfaces and their status.
What's the best way to view network connection details?,ip link show,Lists network interfaces and their status.
Can you tell me how to get information about my network devices?,ip link show,Lists network interfaces and their status.
Give me the command to show network interfaces,ip link show,Lists network interfaces and their status.
How do I inspect my network interfaces?,ip link show,Lists network interfaces and their status.
Display active network links,ip link show,Lists network interfaces and their status.
What command provides an overview of network interfaces?,ip link show,Lists network interfaces and their status.
How do I list all open network sockets and the processes using them?,ss -anp,Lists all sockets with associated processes.
Show me every active network connection along with its associated process ID,ss -anp,Lists all sockets with associated processes.
What command will display all listening ports and the programs bound to them?,ss -anp,Lists all sockets with associated processes.
I need to see a comprehensive list of all sockets and their corresponding processes,ss -anp,Lists all sockets with associated processes.
Can you help me identify which processes have open network connections?,ss -anp,Lists all sockets with associated processes.
"Display all established, listening, and other socket states with process information",ss -anp,Lists all sockets with associated processes.
How can I check all network endpoints and the services using them?,ss -anp,Lists all sockets with associated processes.
